,participant,LYTIS_1,religija_1,shs_1,shs_2,shs_3,shs_4,score_1,vaikyste_1,vaikyste_2,vaikyste_3,vaikyste_4,vg_1,DN1_1,DN1_2,DN1_3,DN1_4,DN1_5,DN1_6,DN1_7,DN1_8,DN1_9,DN1_10,DN1_11,DN1_12,DN1_13,DN1_14,DN1_15,DN1_16,DN1_17,DN1_18,DN1_19,DN1_20,DN1_21,DN1_22,DN1_23,DN1_24,DN1_25,DN1_26,DN1_27,DN1_28,DN1_29,DN1_30,DN1_31,DN1_32,DN1_33,DN1_34,DN1_35,pripazinimas_1,meile_1,pasiekimai_1,perfekcionizmas_1,atlygiolaukimas_1,galia_1,autonomija_1,TIME_start,TIME_end,TIME_total
0,s.fc8cfc2e-aa98-4388-b03e-0206001afa21.txt,1.0,2.0,4.0,5.0,5.0,5.0,4.75,5.0,2.0,5.0,5.0,4.25,4.0,1.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,-1.0,-2.0,1.0,5.0,-4.0,2.0,2023-12-02-10-36,2023-12-02-10-50,14.0
1,s.d049c57a-616f-4b80-a387-9418d2c148e8.txt,2.0,7.0,5.0,6.0,4.0,4.0,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-01-22-39,,
2,s.09ab10d3-9f95-412a-9870-32ba169e457d.txt,1.0,3.0,5.0,6.0,4.0,4.0,4.75,2.0,2.0,2.0,3.0,2.25,3.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,-3.0,-1.0,-8.0,-3.0,0.0,-3.0,0.0,2024-03-01-08-19,,
3,s.d0b8bdc6-9e02-4418-bfd6-dc556312d140.txt,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-02-10-01,,
4,s.5cb71fd0-cab7-4ff4-956a-644073698003.txt,1.0,4.0,2.0,4.0,2.0,3.0,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-01-10-16,,
5,s.dd809bdc-7b6a-42b6-8398-c8a60afe28ef.txt,2.0,4.0,5.0,4.0,5.0,5.0,4.75,4.0,2.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-15-19-23,,
6,s.a902cac7-bf8d-4d0a-bacb-d55ce2c6b04c.txt,1.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,1.0,2.25,1.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,0.0,-4.0,4.0,2023-12-03-15-20,2023-12-03-15-26,6.0
7,s.f0ec85c4-5aff-4ea4-ac98-63b77a2ba5ee.txt,2.0,3.0,3.0,6.0,2.0,2.0,3.25,6.0,6.0,4.0,6.0,5.5,1.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,4.0,1.0,4.0,5.0,4.0,2.0,3.0,4.0,2.0,1.0,5.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,-2.0,5.0,-4.0,-3.0,1.0,-3.0,2024-02-12-23-57,,
8,s.e7406c62-cb8a-46a8-a1b6-1c8e44a6ed20.txt,2.0,5.0,3.0,3.0,4.0,6.0,4.0,3.0,2.0,4.0,4.0,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-03-15-48,,
9,s.2a3c8c9b-1bfd-46c8-a54c-bed64dba3afe.txt,1.0,5.0,5.0,6.0,4.0,6.0,5.25,7.0,3.0,1.0,4.0,3.75,5.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,1.0,4.0,5.0,3.0,4.0,5.0,2.0,-8.0,-5.0,-1.0,2.0,-4.0,0.0,2023-12-03-00-17,2023-12-03-00-26,9.0
